Disease	Type 2 diabetes	Rank_Type 2 diabetes
HG02364	0.7074	0.2045
HG02367	0.8083	0.2612
HG02371	1.8121	0.6342
HG02373	1.545	0.5567
HG02374	1.0478	0.3638
HG02375	0.5432	0.1214
HG02379	0.8206	0.2676
HG02380	1.3626	0.4924
HG02382	0.6713	0.1829
HG02383	1.0695	0.3722
HG02384	1.8763	0.651
HG02385	1.6423	0.5903
HG02386	0.7232	0.2169
HG02389	0.6558	0.1753
HG02390	2.0911	0.7005
HG02391	0.8138	0.264
HG02392	1.1538	0.403
HG02394	0.7086	0.2069
HG02395	1.2231	0.4301
HG02396	0.6694	0.1821
HG02397	1.605	0.5783
HG02398	1.2378	0.4373
HG02399	1.1833	0.4133
HG02401	0.9423	0.3211
HG02402	0.5783	0.1342
HG02406	0.3761	0.0451
HG02407	6.6313	0.9696
HG02408	1.2101	0.4245
HG02409	0.3767	0.0459
HG02410	0.748	0.2312
HG02419	2.5782	0.7843
HG02420	3.2782	0.855
